chrom strand start end feature
7 + 823471 823565 tV(AAC)G2
7 - 828712 828804 tR(UCU)G2
7 + 845638 845729 tG(GCC)G1
7 + 531599 531691 tD(GUC)G1
7 + 541839 541931 tE(UUC)G3
7 - 544566 544658 tD(GUC)G2
7 - 561651 561753 tS(AGA)G
7 + 661738 661830 tT(UGU)G1
7 - 857367 857501 tL(CAA)G3
7 + 876383 876476 tK(CUU)G3
7 - 878699 878825 tW(CCA)G2
7 - 930942 931033 tG(GCC)G2
7 + 1004205 1004297 tT(UGU)G2
8 - 358467 358579 tF(GAA)H2
8 - 388882 389005 tP(UGG)H
8 + 466979 467071 tT(UGU)H
8 - 475695 475788 tV(CAC)H
8 + 62744 62836 tH(GUG)H
8 - 85287 85381 tV(AAC)H
8 - 116096 116189 tT(AGU)H
8 - 133015 133117 tS(AGA)H
8 + 134310 134402 tQ(UUG)H
8 - 146231 146324 tA(AGC)H
8 - 237837 237949 tF(GAA)H1
9 + 175020 175113 tT(AGU)I1
9 - 183429 183523 tI(AAU)I1
9 + 197581 197673 tE(CUC)I
9 + 210654 210748 tI(AAU)I2
9 + 248839 248941 tS(UGA)I
9 - 300217 300310 tK(CUU)I
9 - 324292 324384 tD(GUC)I1
9 + 325737 325830 tT(AGU)I2
9 - 336338 336430 tD(GUC)I2
9 + 370406 370498 tE(UUC)I
10 - 59089 59182 tT(AGU)J
10 - 115928 116020 tE(UUC)J
10 - 197302 197395 tA(AGC)J
10 + 204724 204816 tD(GUC)J1
10 + 233928 234021 tR(ACG)J
10 + 354233 354342 tY(GUA)J1
10 + 355363 355455 tR(UCU)J1
10 + 355445 355537 tD(GUC)J2
10 - 374413 374505 tD(GUC)J3
10 - 374495 374587 tR(UCU)J2
10 + 378349 378443 tV(AAC)J
10 - 391032 391125 tM(CAU)J1
10 - 396715 396806 tG(GCC)J1
10 + 414955 415048 tK(CUU)J
10 - 415920 416046 tW(CCA)J
10 + 422926 423019 tM(CAU)J2
10 - 424421 424525 tL(UAA)J
10 - 517802 517894 tM(CAU)J3
10 - 524001 524103 tS(AGA)J
10 + 531817 531908 tG(GCC)J2
10 + 538544 538636 tR(CCU)J
10 + 541497 541589 tD(GUC)J4
10 - 542945 543054 tY(GUA)J2
10 + 617908 618029 tL(UAG)J
11 + 578954 579070 tK(UUU)K
11 - 46724 46816 tT(CGU)K
11 + 74613 74707 tN(GUU)K
11 + 84197 84301 tL(UAA)K
11 - 141007 141099 tE(UUC)K
11 - 162476 162568 tR(UCU)K
11 + 202988 203081 tK(CUU)K
11 + 219884 219977 tA(AGC)K1
11 + 302907 303033 tW(CCA)K
11 - 308133 308227 tV(AAC)K1
11 - 313390 313482 tH(GUG)K
11 + 379669 379763 tV(AAC)K2
11 + 458546 458680 tL(CAA)K
11 + 490957 491050 tR(ACG)K
11 - 513321 513413 tD(GUC)K
11 + 517977 518070 tA(AGC)K2
12 + 92537 92660 tP(UGG)L
12 - 167933 168035 tS(AGA)L
12 + 875365 875481 tK(UUU)L
12 - 962961 963065 tL(UAA)L
12 - 975972 976066 tN(GUU)L
12 - 1052060 1052154 tI(AAU)L2
12 - 592508 592629 tL(UAG)L1
12 - 605289 605442 tI(UAU)L
12 + 628372 628507 tL(CAA)L
12 - 656923 657016 tA(AGC)L
12 - 687848 687942 tV(AAC)L
12 - 214872 214965 tA(UGC)L
12 + 374344 374437 tR(ACG)L
12 + 427121 427213 tD(GUC)L1
12 - 448639 448731 tQ(UUG)L
12 + 732079 732200 tL(UAG)L2
12 + 734791 734885 tI(AAU)L1
12 + 784343 784463 tX(XXX)L
12 + 793907 793999 tD(GUC)L2
12 + 797167 797259 tE(UUC)L
12 + 818598 818690 tR(CCG)L
13 - 131814 131906 tR(UCU)M2
13 + 168784 168893 tY(GUA)M1
13 + 352269 352380 tF(GAA)M
13 + 363053 363145 tH(GUG)M
13 - 372434 372528 tV(AAC)M1
13 - 379292 379418 tW(CCA)M
13 - 420577 420671 tV(AAC)M2
13 + 463543 463635 tD(GUC)M
13 - 480610 480703 tK(CUU)M
13 + 504884 505018 tL(CAA)M
13 - 183887 183978 tG(GCC)M
13 - 196057 196180 tP(UGG)M
13 - 259147 259249 tS(AGA)M
13 + 290790 290882 tE(UUC)M
13 - 321136 321229 tA(AGC)M1
13 - 747881 747973 tR(UCU)M1
13 - 768358 768451 tA(AGC)M2
13 - 808235 808327 tQ(CUG)M
13 + 837917 838026 tY(GUA)M2
13 - 572872 572965 tM(CAU)M
13 - 586625 586719 tV(AAC)M3
14 - 96230 96322 tG(UCC)N
14 + 102705 102799 tN(GUU)N1
14 + 104794 104887 tT(AGU)N1
14 + 547083 547206 tP(UGG)N1
14 - 560682 560775 tT(AGU)N2
14 + 568104 568227 tP(UGG)N2
14 - 569856 569950 tI(AAU)N1
14 + 602301 602395 tI(AAU)N2
14 - 631835 631927 tP(AGG)N
14 + 632588 632682 tN(GUU)N2
14 - 726123 726227 tL(UAA)N
14 + 374858 374969 tF(GAA)N
14 + 442995 443129 tL(CAA)N
14 - 519088 519179 tD(GUC)N
15 - 110951 111043 tG(UCC)O
15 + 113791 113884 tT(AGU)O1
15 + 571947 572039 tD(GUC)O
15 - 594343 594435 tG(CCC)O
15 - 663801 663895 tV(AAC)O
15 + 438632 438748 tK(UUU)O
15 + 464439 464561 tP(UGG)O2
15 + 487428 487522 tN(GUU)O2
15 - 226600 226691 tG(GCC)O1
15 + 228320 228414 tN(GUU)O1
15 + 274662 274783 tS(GCU)O
15 + 282153 282244 tG(GCC)O2
15 + 288181 288290 tY(GUA)O
15 + 301086 301208 tP(UGG)O1
15 - 340288 340381 tR(ACG)O
15 - 354030 354123 tT(AGU)O2
15 - 854176 854269 tA(UGC)O
15 + 976410 976503 tM(CAU)O2
15 + 980672 980797 tP(UGG)O3
15 + 710190 710282 tM(CAU)O1
16 - 56158 56284 tW(CCA)P
16 - 435882 435974 tC(GCA)P1
16 - 210181 210273 tE(UUC)P
16 - 338837 338929 tM(CAU)P
16 - 560187 560299 tF(GAA)P1
16 + 572258 572349 tG(GCC)P1
16 + 582051 582144 tK(CUU)P
16 - 622529 622641 tF(GAA)P2
16 + 689554 689656 tS(UGA)P
16 + 744273 744365 tT(UGU)P
16 - 769196 769312 tK(UUU)P
16 - 775754 775846 tC(GCA)P2
16 + 810665 810759 tN(GUU)P
16 + 819518 819612 tI(AAU)P1
16 + 856891 856984 tA(AGC)P
16 + 860368 860459 tG(GCC)P2
16 - 880285 880379 tI(AAU)P2
M + 720 812 tP(UGG)Q
M + 9363 9457 tW(UCA)Q
M + 35362 35454 tE(UUC)Q
M + 48190 48300 tS(UGA)Q2
M + 63851 63947 tT(UGU)Q1
M + 64404 64500 tC(GCA)Q
M + 64585 64680 tH(GUG)Q
M + 66084 66189 tL(UAA)Q
M + 66199 66295 tQ(UUG)Q
M + 67050 67144 tK(UUU)Q
M + 67298 67391 tR(UCU)Q1
M + 67457 67552 tG(UCC)Q
M + 68311 68406 tD(GUC)Q
M + 69192 69298 tS(GCU)Q1
M + 69278 69372 tR(ACG)Q2
M + 69835 69931 tA(UGC)Q
M + 70151 70247 tI(GAU)Q
M + 70813 70917 tY(GUA)Q
M + 71422 71513 tN(GUU)Q
M + 72619 72715 tM(CAU)Q1
M + 77420 77515 tF(GAA)Q
M - 78078 78172 tT(UAG)Q2
M + 78522 78618 tV(UAC)Q
M + 85024 85122 tM(CAU)Q2
